address,balance_btc,total_received_btc,total_sent_btc,num_transactions
1HxGtbapy9ePLqt2J9G4PK3EqK7EbUGf4f,0.0,0.01299552,0.01299552,8
bc1qerf85z50plxaqmya63q60fqtdknja8k0t52njd,0.00020799,0.00020799,0.0,1
bc1q9q7trc2fsz5g3wjy504qs3x3gahsc6mganjvwz,0.0,0.0016079,0.0016079,2
bc1pt73kxwl3dehkrxn96an0rd90k9d9apv4rtff4hmts7mkp6wr83zq4r7eap,0.63380848,72.64517159,72.01090182,4806
